,0
2017-10-04,12443055.123691296
2017-10-05,12395137.005013343
2017-10-06,12404315.556651456
2017-10-09,12441402.805016423
2017-10-10,12466875.715053739
2017-10-11,12429561.599227622
2017-10-12,12395362.168539803
2017-10-13,12332370.230190765
2017-10-16,12344930.650862075
2017-10-17,12380254.652327212
2017-10-18,12386594.224811964
2017-10-19,12404924.473919617
2017-10-20,12359128.102549564
2017-10-23,12355638.880105387
2017-10-24,12347702.298334751
2017-10-25,12355363.882424193
2017-10-26,12276173.352418587
2017-10-27,12296379.186740972
2017-10-30,12366090.210224692
2017-10-31,12426074.197078133
2017-11-01,12463500.827924449
2017-11-02,12454478.147660991
2017-11-03,12415245.157377996
2017-11-06,12380887.925200554
2017-11-07,12429640.626297552
2017-11-08,12358725.824504957
2017-11-09,12337788.941493465
2017-11-10,12369384.645141985
2017-11-13,12367839.35682
2017-11-14,12400284.44907428
2017-11-15,12383616.783600926
2017-11-16,12367435.446400484
2017-11-17,12386440.38440988
2017-11-20,12402505.20853852
2017-11-21,12386628.151957996
2017-11-22,12362231.399387315
2017-11-24,12381329.621973056
2017-11-27,12364816.705967147
2017-11-28,12376420.576019118
2017-11-29,12426167.102446048
2017-11-30,12455371.570155568
2017-12-01,12421196.34629114
2017-12-04,12417833.12294388
2017-12-05,12482698.400052318
2017-12-06,12503945.858563347
2017-12-07,12494657.33485408
2017-12-08,12492341.613237808
2017-12-11,12391494.044717364
2017-12-12,12441860.896314738
2017-12-13,12509599.44773754
2017-12-14,12459697.073656105
2017-12-15,12457807.84814053
2017-12-18,12468206.66520629
2017-12-19,12450317.244540578
2017-12-20,12445972.596602738
2017-12-21,12421166.649987638
2017-12-22,12459754.665803932
2017-12-26,12469707.690030098
2017-12-27,12462272.051092066
2017-12-28,12416020.956618095
2017-12-29,12448899.51434858
2018-01-02,12485377.831375966
2018-01-03,12509689.271928767
2018-01-04,12472707.696781574
2018-01-05,12522367.597366575
2018-01-08,12518345.41370019
2018-01-09,12531399.67859001
2018-01-10,12527518.128548343
2018-01-11,12477022.108126761
2018-01-12,12467051.329025222
2018-01-16,12478808.799556416
2018-01-17,12501082.486842016
2018-01-18,12462402.522273762
2018-01-19,12463622.65760621
2018-01-22,12455361.764105305
2018-01-23,12434813.170515444
2018-01-24,12476972.483453397
2018-01-25,12480112.432011442
2018-01-26,12447583.057555925
2018-01-29,12404236.902159646
2018-01-30,12409517.917648772
2018-01-31,12476670.47252185
2018-02-01,12495639.250307944
2018-02-02,12491422.362355411
2018-02-05,12463741.07610757
2018-02-06,12537836.512596156
2018-02-07,12518768.774034122
2018-02-08,12564463.278627507
2018-02-09,12655205.111554997
2018-02-12,12612286.908014517
2018-02-13,12595301.590999432
2018-02-14,12569800.261934223
2018-02-15,12407933.549656536
2018-02-16,12455035.585455941
2018-02-20,12478031.94336206
2018-02-21,12454220.784737052
2018-02-22,12445503.634333005
2018-02-23,12504137.633326856
2018-02-26,12492299.253070423
2018-02-27,12523628.484263103
2018-02-28,12463767.969762761
2018-03-01,12467952.655954288
2018-03-02,12491750.135459313
2018-03-05,12480313.214160189
2018-03-06,12480753.756050928
2018-03-07,12427754.32216975
2018-03-08,12345853.55368219
2018-03-09,12387166.473443387
2018-03-12,12383917.420003673
2018-03-13,12364453.373374581
2018-03-14,12379784.677791972
2018-03-15,12373702.029891582
2018-03-16,12387175.840065071
2018-03-19,12408358.517182749
2018-03-20,12413939.456367953
2018-03-21,12339289.291442767
2018-03-22,12326013.033494163
2018-03-23,12303733.597907165
2018-03-26,12308223.764187217
2018-03-27,12299192.42388937
2018-03-28,12354769.539652336
2018-03-29,12381450.70293802
2018-04-02,12346412.227606244
2018-04-03,12339310.46048666
2018-04-04,12320158.160427373
2018-04-05,12299893.211492598
2018-04-06,12255328.529848633
2018-04-09,12244448.064876664
2018-04-10,12214984.723932333
2018-04-11,12194623.221648686
2018-04-12,12184199.029253889
2018-04-13,12163328.04297843
2018-04-16,12166864.797742942
2018-04-17,12153610.935353236
2018-04-18,12114812.844818715
2018-04-19,12107022.79074994
2018-04-20,12132825.254350236
2018-04-23,12121752.9286122
2018-04-24,12186185.806015147
2018-04-25,12260636.769665578
2018-04-26,12293642.693981187
2018-04-27,12278061.589712832
2018-04-30,12269767.594280954
2018-05-01,12292870.576369463
2018-05-02,12284889.733844424
2018-05-03,12257635.412526589
2018-05-04,12233270.721634803
2018-05-07,12179832.635693666
2018-05-08,12194958.85778536
2018-05-09,12119660.563798433
2018-05-10,12026181.617687061
2018-05-11,12035614.780552698
2018-05-14,12047472.775499344
2018-05-15,12084666.977372184
2018-05-16,12046060.953099359
2018-05-17,12024656.41742295
2018-05-18,12041639.680786192
2018-05-21,12060619.494948508
2018-05-22,12076056.4060201
2018-05-23,12091575.685187321
2018-05-24,12073574.042640563
2018-05-25,12034297.11959816
2018-05-29,12049073.067911152
2018-05-30,12028731.647335779
2018-05-31,11986689.912609657
2018-06-01,11983948.798315583
2018-06-04,12014850.26457136
2018-06-05,12073692.299611483
2018-06-06,12048109.315606833
2018-06-07,12051737.703480277
2018-06-08,12082657.400836725
2018-06-11,12072871.706962597
2018-06-12,12075019.729921017
2018-06-13,12097869.335048685
2018-06-14,12075142.168664956
2018-06-15,12107026.655162541
2018-06-18,12113093.468873996
2018-06-19,12122515.130299142
2018-06-20,12051869.652418572
2018-06-21,12005476.21127481
